date,keyword,location,rank,list_size,top1,ads
2026-08-09,사직 맛집,야구장앞,11,18,류센소 사직점,
2026-08-09,사직 맛집,사직동주거지,11,18,류센소 사직점,
2026-08-09,사직 맛집,동래역,11,18,류센소 사직점,
2026-08-09,사직동 맛집,야구장앞,11,18,류센소 사직점,
2026-08-09,사직동 맛집,사직동주거지,11,18,류센소 사직점,
2026-08-09,사직동 맛집,동래역,11,18,류센소 사직점,
2026-08-09,사직 점심,야구장앞,,15,샤브해연 사직자이언츠점,
2026-08-09,사직 점심,사직동주거지,,15,샤브해연 사직자이언츠점,
2026-08-09,사직 점심,동래역,,15,샤브해연 사직자이언츠점,
2026-08-09,사직 저녁,야구장앞,,12,삼대돼지불고기 2호점,
2026-08-09,사직 저녁,사직동주거지,,12,삼대돼지불고기 2호점,
2026-08-09,사직 저녁,동래역,,12,삼대돼지불고기 2호점,
2026-08-09,사직야구장 맛집,야구장앞,12,18,류센소 사직점,
2026-08-09,사직야구장 맛집,사직동주거지,12,18,류센소 사직점,
2026-08-09,사직야구장 맛집,동래역,12,18,류센소 사직점,
2026-08-09,사직 햄버거,야구장앞,2,10,맥도날드 사직점,
2026-08-09,사직 햄버거,사직동주거지,2,10,맥도날드 사직점,
2026-08-09,사직 햄버거,동래역,2,10,맥도날드 사직점,
2026-08-09,사직 수제버거,야구장앞,2,10,왓더버거 사직점,
2026-08-09,사직 수제버거,사직동주거지,2,10,왓더버거 사직점,
2026-08-09,사직 수제버거,동래역,2,10,왓더버거 사직점,
2026-08-09,종합운동장 맛집,야구장앞,12,17,이우철한방누룽지삼계탕 사직점,
2026-08-09,종합운동장 맛집,사직동주거지,12,17,이우철한방누룽지삼계탕 사직점,
2026-08-09,종합운동장 맛집,동래역,12,17,이우철한방누룽지삼계탕 사직점,
2026-08-09,사직동 맛집,야구장앞,11,18,,
2026-08-09,동래 맛집,야구장앞,14,18,,
2026-08-09,동래역 맛집,야구장앞,,18,,
2026-08-09,사직 맛집,야구장앞,11,18,,
2026-08-09,부산사직 맛집,야구장앞,11,18,,
2026-08-09,사직야구장 맛집,야구장앞,12,18,,
2026-08-09,부산 수제버거,야구장앞,11,13,,
2026-08-09,종합운동장 맛집,야구장앞,12,17,,
2026-08-09,사직 점심,야구장앞,,15,,
2026-08-09,사직 햄버거,야구장앞,2,10,,
2026-08-09,사직야구장 포장,야구장앞,1,10,,
2026-08-10,사직 햄버거,야구장앞,2,10,,
2026-08-10,사직야구장 포장,야구장앞,1,10,,
2026-08-10,종합운동장 맛집,야구장앞,12,17,,
2026-08-10,부산 수제버거,야구장앞,11,13,,
2026-08-10,동래 맛집,야구장앞,14,18,,
2026-08-10,사직야구장 맛집,야구장앞,12,18,,
2026-08-10,사직 맛집,야구장앞,11,18,,
2026-08-10,사직 점심,야구장앞,,15,,
2026-08-10,사직동 맛집,야구장앞,11,18,,
2026-08-10,동래역 맛집,야구장앞,,18,,
2026-08-10,부산사직 맛집,야구장앞,11,18,,
2026-08-10,동래구맛집,야구장앞,14,18,,
2026-08-10,동래 밥집,야구장앞,,19,,
2026-08-10,미남역 맛집,야구장앞,17,19,,
2026-08-10,동래 점심,야구장앞,,18,,
2026-08-10,종합운동장역 맛집,야구장앞,,18,,
2026-08-10,사직동 밥집,야구장앞,,15,,
2026-08-10,사직야구장 근처맛집,야구장앞,12,18,,
2026-08-10,사직야구장 근처 맛집,야구장앞,12,18,,
2026-08-10,동래 브런치,야구장앞,,13,,
2026-08-10,동래역 밥집,야구장앞,,11,,
2026-08-10,거제동 맛집,야구장앞,,18,,
2026-08-10,사직 밥집,야구장앞,,15,,
2026-08-10,동래역 근처맛집,야구장앞,,18,,
2026-08-10,부산 햄버거 맛집,야구장앞,14,19,,
2026-08-10,사직동 브런치,야구장앞,,12,,
2026-08-10,동래 양식,야구장앞,11,12,,
2026-08-10,사직 근처맛집,야구장앞,11,18,,
2026-08-10,동래 데이트,야구장앞,,11,,
2026-08-10,사직동 점심,야구장앞,,15,,
2026-08-10,동래 혼밥,야구장앞,,16,,
2026-08-10,미남역 밥집,야구장앞,,11,,
2026-08-10,동래역 점심,야구장앞,,14,,
2026-08-10,아시아드 맛집,야구장앞,18,19,,
2026-08-10,동래 회식,야구장앞,,18,,
2026-08-10,미남역 근처맛집,야구장앞,17,19,,
2026-08-10,동래역 혼밥,야구장앞,,12,,
2026-08-10,동래역 브런치,야구장앞,,11,,
2026-08-10,사직 브런치,야구장앞,,12,,
2026-08-10,사직동 혼밥,야구장앞,,12,,
2026-08-10,부산사직 밥집,야구장앞,,15,,
2026-08-10,사직 혼밥,야구장앞,,12,,
2026-08-10,부산사직 근처맛집,야구장앞,11,18,,
2026-08-10,사직동 햄버거,야구장앞,2,10,,
2026-08-10,종합운동장 근처맛집,야구장앞,12,17,,
2026-08-10,동래역 맛집,야구장앞,,18,,19
2026-08-10,사직동 맛집,야구장앞,11,18,,13
2026-08-10,사직야구장 맛집,야구장앞,12,18,,21
2026-08-10,부산 수제버거,야구장앞,11,13,,10
2026-08-10,부산사직 맛집,야구장앞,11,18,,14
2026-08-10,동래 맛집,야구장앞,14,18,,20
2026-08-10,사직야구장 포장,야구장앞,1,10,,2
2026-08-10,사직 맛집,야구장앞,11,18,,14
2026-08-10,종합운동장 맛집,야구장앞,12,17,,21
2026-08-10,사직 점심,야구장앞,,15,,5
2026-08-10,사직 햄버거,야구장앞,2,10,,3
2026-08-10,동래구맛집,야구장앞,14,18,,20
2026-08-10,동래 밥집,야구장앞,,19,,10
2026-08-10,미남역 맛집,야구장앞,17,19,,20
2026-08-10,동래 점심,야구장앞,,18,,18
2026-08-10,종합운동장역 맛집,야구장앞,,18,,21
2026-08-10,사직동 밥집,야구장앞,,15,,1
2026-08-10,사직야구장 근처맛집,야구장앞,12,18,,21
2026-08-10,사직야구장 근처 맛집,야구장앞,12,18,,21
2026-08-10,동래 브런치,야구장앞,,13,,2
2026-08-10,동래역 밥집,야구장앞,,11,,8
2026-08-10,거제동 맛집,야구장앞,,18,,13
2026-08-10,사직 밥집,야구장앞,,15,,1
2026-08-10,동래역 근처맛집,야구장앞,,18,,19
2026-08-10,부산 햄버거 맛집,야구장앞,14,19,,19
2026-08-10,사직동 브런치,야구장앞,,12,,0
2026-08-10,동래 양식,야구장앞,11,12,,8
2026-08-10,사직 근처맛집,야구장앞,11,18,,14
2026-08-10,동래 데이트,야구장앞,,11,,18
2026-08-10,사직동 점심,야구장앞,,15,,5
2026-08-10,동래 혼밥,야구장앞,,16,,7
2026-08-10,미남역 밥집,야구장앞,,11,,9
2026-08-10,동래역 점심,야구장앞,,14,,18
2026-08-10,아시아드 맛집,야구장앞,18,19,,21
2026-08-10,동래 회식,야구장앞,,18,,19
2026-08-10,미남역 근처맛집,야구장앞,17,19,,20
2026-08-10,동래역 혼밥,야구장앞,,12,,5
2026-08-10,동래역 브런치,야구장앞,,11,,2
2026-08-10,사직 브런치,야구장앞,,12,,0
2026-08-10,사직동 혼밥,야구장앞,,12,,1
2026-08-10,부산사직 밥집,야구장앞,,15,,1
2026-08-10,사직 혼밥,야구장앞,,12,,1
2026-08-10,부산사직 근처맛집,야구장앞,11,18,,14
2026-08-10,사직동 햄버거,야구장앞,2,10,,3
2026-08-10,종합운동장 근처맛집,야구장앞,12,17,,21
2026-08-11,사직야구장 맛집,야구장앞,12,18,,21
2026-08-11,사직 맛집,야구장앞,11,18,,16
2026-08-11,사직동 맛집,야구장앞,11,18,,15
2026-08-11,종합운동장 맛집,야구장앞,12,17,,21
2026-08-11,부산사직 맛집,야구장앞,11,18,,16
2026-08-11,부산 수제버거,야구장앞,11,13,,8
2026-08-11,사직 햄버거,야구장앞,2,10,,3
2026-08-11,동래역 맛집,야구장앞,,18,,18
2026-08-11,사직야구장 포장,야구장앞,1,10,,2
2026-08-11,동래 맛집,야구장앞,13,18,,19
2026-08-11,사직 점심,야구장앞,,15,,6
2026-08-11,동래구맛집,야구장앞,13,18,,19
2026-08-11,동래 밥집,야구장앞,,19,,11
2026-08-11,미남역 맛집,야구장앞,18,19,,19
2026-08-11,동래 점심,야구장앞,,18,,18
2026-08-11,종합운동장역 맛집,야구장앞,,17,,21
2026-08-11,사직동 밥집,야구장앞,,15,,1
2026-08-11,사직야구장 근처맛집,야구장앞,12,18,,21
2026-08-11,사직야구장 근처 맛집,야구장앞,12,18,,21
2026-08-11,동래 브런치,야구장앞,,13,,2
2026-08-11,동래역 밥집,야구장앞,,11,,9
2026-08-11,거제동 맛집,야구장앞,,18,,15
2026-08-11,사직 밥집,야구장앞,,15,,1
2026-08-11,부산 햄버거 맛집,야구장앞,14,19,,12
2026-08-11,동래역 근처맛집,야구장앞,,18,,18
2026-08-11,사직동 브런치,야구장앞,,12,,0
2026-08-11,동래 양식,야구장앞,11,12,,6
2026-08-11,사직 근처맛집,야구장앞,11,18,,16
2026-08-11,동래 데이트,야구장앞,,12,,18
2026-08-11,사직동 점심,야구장앞,,15,,6
2026-08-11,미남역 밥집,야구장앞,,11,,10
2026-08-11,동래 혼밥,야구장앞,,16,,5
2026-08-11,동래역 점심,야구장앞,,14,,16
2026-08-11,아시아드 맛집,야구장앞,19,19,,21
2026-08-11,미남역 근처맛집,야구장앞,18,19,,19
2026-08-11,동래 회식,야구장앞,,18,,18
